Domain,Sub domain,Intent,value,0,1,2,3,4,5,6,7,8,9,y_hat
About Techology,Data Security & Privacy,sensitive_data_storage,Would my ID number be stored on your server?,-3.488878,-3.0689187,-3.046999,-3.3576326,2.1981504,-3.2491097,-3.4861045,-3.2600951,-3.818949,-3.2981217,4
About Techology,iAM SMART Integration,data_exchange_iamsmart,"I¡¦m not going to share my data with iAMSMART, is it possible?",-3.7010581,-3.037771,-3.052454,1.91337,-3.335143,-3.3046138,-3.2648573,-3.4712427,-3.5283823,-3.1796741,3
About Techology,Data Security & Privacy,data_security,And where do you store my information?,-3.2114952,-3.5667346,2.213037,-3.1954517,-3.2726011,-3.284252,-3.5042484,-3.553093,-3.27509,-3.4454644,2
About Business Component,Filling ,Information_saving,Will your system memorize my information so that I won¡¦t have to fill it in twice?,-3.4291575,-3.3505445,-3.1449018,-3.457459,-3.1666386,-3.2910078,2.1679282,-3.4789803,-3.0677874,-3.5919814,6
About Techology,Data Security & Privacy,sensitive_data_storage,Do you store the personal information that I am filling in?,-3.5563343,-2.932971,-3.0719664,-3.3390698,2.2225547,-3.309308,-3.4289734,-3.268247,-3.8351038,-3.2450402,4
About Techology,iAM SMART Integration,Without_iamsmart,Let me know what to make use of this service without using iAM SMART.,-3.1159256,1.9956386,-3.535598,-3.2109578,-3.295633,-3.4480178,-3.4301252,-3.2888172,-3.5707476,-3.4987543,1
About Techology,Data Security & Privacy,sensitive_data_storage,Is the information that we fill in stored?,-3.528474,-3.0336154,-3.075539,-3.4643123,2.1314535,-3.3256764,-3.4886434,-3.2660875,-3.8532012,-3.1682355,4
About Techology,Data Security & Privacy,data_security,Does iAM SMART collect my information even if I don't use the iAM SMART service?,-3.2936625,-3.4159482,2.1749427,-3.1604803,-3.3101482,-3.2884424,-3.4673913,-3.606952,-3.2801082,-3.47194,2
About Business Component,Filling ,Information_saving,Is it going to make my computer remember to keep it back so I will not have the information to be provided again?,-3.6907477,-3.3603926,-3.291567,-3.240437,-3.159999,-3.0862885,1.9223899,-3.4766357,-3.417912,-3.802992,6
About Business Component,Overall,Service_Summary,Which form of service are you offering?,-3.0734527,-3.2945023,-3.4291902,-3.1017966,-3.2262516,-3.3289418,-3.4640388,-3.1708152,-3.0856802,2.0995815,9
About Techology,Data Security & Privacy,sensitive_data_storage,Will my ID number be saved on you server?,-3.5582435,-3.0477712,-3.1476972,-3.2863512,2.1399252,-3.2898967,-3.4812667,-3.293011,-3.889289,-3.312997,4
About Business Component,Overall,Doubt_usefulness,Do you give me a reason why should I use your service?,-3.1697786,-3.337819,-3.229841,-3.3809583,-3.6801043,-3.3808587,-2.9713998,-3.320968,2.0396755,-3.177019,8
About Techology,iAM SMART Integration,Without_iamsmart,Would it still work without iAMSMART?,-3.2469482,2.079215,-3.5371492,-3.0598826,-3.129181,-3.360145,-3.4253771,-3.3081813,-3.5031242,-3.5589416,1
About Business Component,Overall,Flow_summary,So what are I doing to work?,-3.155732,-3.3015618,-3.502891,-3.3682725,-3.1463358,-2.887127,-3.4757023,2.0539267,-3.0239995,-3.2638867,7
About Business Component,Overall,Doubt_usefulness,How Much Time Could I save with Your Service?,-3.1797206,-3.3428059,-3.2583547,-3.4189003,-3.6789336,-3.3256383,-3.0317526,-3.207245,2.0420883,-3.2040222,8
About Techology,iAM SMART Integration,data_exchange_iamsmart,Can I cease to share my information with i am smart?,-3.747597,-2.9901948,-3.0661163,1.9673306,-3.3354113,-3.2460368,-3.1360562,-3.49295,-3.482157,-3.1482232,3
About Business Component,Overall,Doubt_usefulness,Why Should I Do Your Service?,-3.1530173,-3.3583622,-3.2822108,-3.3979394,-3.6960077,-3.33808,-3.0412812,-3.2715194,2.0542688,-3.0732315,8
About Techology,AI Techology,AI_summary,How does ML improve my experience while making your service more profitable?,1.9591547,-3.1779299,-3.126092,-3.5921547,-3.557693,-3.2479465,-3.24036,-3.1853142,-3.104114,-3.083527,0
About Business Component,Overall,Doubt_usefulness,Give me a reason to use your service.,-3.2159064,-3.384375,-3.262089,-3.4649591,-3.7168808,-3.3198485,-3.014615,-3.1801035,2.0209365,-3.2065456,8
About Business Component,Filling ,Information_saving,"Is your system going to keep my information in mind, so that I won¡¦t have to submit it again?",-3.5497522,-3.4753764,-3.3575916,-3.596362,-2.9501517,-3.296095,1.9250165,-3.4450943,-3.1989923,-3.7202368,6
About Business Component,Filling ,Information_saving,Does your system remember my information so I won¡¦t have to provide it again?,-3.4093642,-3.260254,-3.1476767,-3.426449,-3.178557,-3.2322028,2.2435355,-3.4837315,-3.0271983,-3.557787,6
About Business Component,Overall,Doubt_usefulness,You can give me reasons to use your service.,-3.1428745,-3.3610294,-3.2620738,-3.404289,-3.734013,-3.3614173,-3.0341063,-3.225255,2.0431416,-3.1581674,8
About Business Component,Overall,Flow_summary,How must I follow this process?,-3.2465348,-3.2465024,-3.4604542,-3.405562,-3.1958613,-2.9400322,-3.391274,1.980503,-3.0756037,-3.3836043,7
About Techology,Data Security & Privacy,sensitive_data_storage,Is the info that I filled in stored?,-3.542456,-3.0703197,-3.0476723,-3.4146996,2.1717134,-3.2170148,-3.3831973,-3.3122065,-3.8220692,-3.2714703,4
About Business Component,Overall,Flow_summary,I don¡¦t know How to take your service.,-3.2051451,-3.2411296,-3.473836,-3.4375744,-3.1823666,-2.96658,-3.5173416,2.0050278,-3.0386393,-3.2011168,7
About Business Component,Overall,Service_Summary,tell Me More About Your Service,-3.1341305,-3.2757668,-3.441329,-3.1244216,-3.2128875,-3.3518167,-3.450646,-3.2285306,-3.0210085,2.0724878,9
About Techology,iAM SMART Integration,Without_iamsmart,How is Fill Easy Working Without iAMSMART?,-3.1698773,2.1322408,-3.5630708,-3.1094556,-3.144114,-3.3289785,-3.3891165,-3.2669623,-3.4405925,-3.5319352,1
About Techology,Data Security & Privacy,sensitive_data_storage,Is the information that I fill out in stored?,-3.5420914,-3.018542,-3.0926626,-3.4298897,2.1541014,-3.2233357,-3.4302354,-3.3002927,-3.8391864,-3.267444,4
About Techology,AI Techology,AI_summary,Is AI helping your business?,1.8924853,-3.2335472,-3.1982684,-3.5584006,-3.5305195,-3.195081,-3.4056046,-3.2274034,-3.096832,-3.0738866,0
About Techology,AI Techology,AI_summary,And how does Artificial Intelligence work when I fill out the forms?,2.0050054,-3.1875765,-3.0920022,-3.5505445,-3.5090704,-3.1712093,-3.3111887,-3.1893525,-3.0653765,-3.0763128,0
About Business Component,Overall,Flow_summary,How do I make use of your service?,-3.2663379,-3.2673755,-3.5027657,-3.3359928,-3.1102495,-2.9300137,-3.4135323,1.9778119,-3.1729157,-3.3232954,7
About Techology,AI Techology,AI_summary,How is Machine Learning possible for you to help me in your service?,1.987995,-3.1868935,-3.1833298,-3.586763,-3.5410783,-3.203732,-3.2847183,-3.1393354,-3.0319343,-3.0978966,0
About the team,Our Contact,Contact_method,Please provide the address to your company.,-3.370434,-3.422284,-3.427068,-3.2546601,-3.583622,2.1084409,-3.3880088,-3.31909,-3.3948157,-3.5563083,5
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will my info be shortened to iAM SMART?,-3.644379,-2.9915864,-3.0693033,1.833971,-3.3981073,-3.341926,-3.3189085,-3.5924566,-3.5325322,-3.1735487,3
About Techology,iAM SMART Integration,data_exchange_iamsmart,Is it possible that iAM SMART know all my banking details?,-3.6730714,-3.0810816,-2.9711444,1.8981417,-3.3343294,-3.326682,-3.3364186,-3.5258522,-3.4895566,-3.1206548,3
About Techology,Data Security & Privacy,data_security,You are going to sell my data?,-3.2655852,-3.496966,2.1936154,-3.1452482,-3.2788439,-3.387546,-3.4188492,-3.6323962,-3.2271914,-3.5289273,2
About the team,Our Contact,Contact_method,Where should I send my mail if I want to be in touch?,-3.3392215,-3.4788885,-3.4364994,-3.2137072,-3.5047867,2.1409023,-3.3577983,-3.3464339,-3.3867488,-3.538575,5
About Business Component,Overall,Service_Summary,Not sure what service you offer,-3.1275213,-3.2998466,-3.4598315,-3.1733744,-3.1717772,-3.384382,-3.4712934,-3.2203686,-3.081249,2.036574,9
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will my data definitely be shared with i am smart?,-3.611483,-3.0623806,-2.9742885,2.0347412,-3.201551,-3.1922991,-3.260267,-3.4100552,-3.4869397,-3.076831,3
About Techology,Data Security & Privacy,data_security,Will my information be transferred to the government?,-3.2503488,-3.5718281,2.176266,-3.1758852,-3.2833385,-3.2709405,-3.5264893,-3.585172,-3.3407602,-3.515304,2
About Business Component,Overall,Service_Summary,No know what service you offer.,-3.1082785,-3.3256273,-3.4352796,-3.1727688,-3.2264533,-3.33285,-3.4871073,-3.2302501,-3.0388932,2.0414236,9
About Business Component,Overall,Flow_summary,We don't know how to use your service,-3.290717,-3.2483435,-3.4117658,-3.4395833,-3.093759,-3.0530162,-3.4688122,1.9479836,-3.1049576,-3.3068826,7
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will iAMSMART receive all of my personal data?,-3.6813886,-3.0197234,-3.126157,1.9685881,-3.2146542,-3.2709868,-3.3403845,-3.3847585,-3.4361105,-3.1258414,3
About Business Component,Overall,Service_Summary,So what do you guys do?,-3.0936482,-3.2757359,-3.4334066,-3.1347091,-3.199716,-3.3975813,-3.444119,-3.2038448,-3.0730624,2.075538,9
About Business Component,Overall,Flow_summary,Teach me how to use your form and fill the service step by step.,-3.1790154,-3.3937464,-3.5156906,-3.484734,-3.1986046,-3.0361724,-3.3067954,1.931194,-3.0269465,-3.3387012,7
About Techology,Data Security & Privacy,sensitive_data_storage,Is my ID record stored on your server?,-3.4355712,-3.0383635,-3.0202794,-3.3755422,2.208732,-3.3257692,-3.4404006,-3.2462242,-3.7986271,-3.3227463,4
About Business Component,Filling ,Information_saving,"If I want to complete in two forms, would I need to fill in the same information twice?",-3.4331846,-3.2961981,-3.1723123,-3.360976,-3.3221033,-3.2925947,2.1633644,-3.4473825,-3.049812,-3.627393,6
About Business Component,Overall,Doubt_usefulness,Why Should I Use Your Service?,-3.1624734,-3.3547244,-3.23583,-3.4190974,-3.7010827,-3.354512,-3.045978,-3.2832744,2.0253267,-3.164254,8
About Techology,Data Security & Privacy,data_security,Will my data be transmitted to any other companies without my consent?,-3.2425754,-3.544617,2.17189,-3.1617138,-3.387626,-3.314734,-3.4960165,-3.5837922,-3.2616544,-3.5066566,2
About Techology,AI Techology,AI_summary,how can ML enhance my experience while using your service?,2.0129156,-3.144822,-3.1469429,-3.5560894,-3.5222857,-3.2131734,-3.3182302,-3.1322174,-3.0726144,-3.044464,0
About Techology,Data Security & Privacy,data_security,Is my info encrypted?,-3.2365923,-3.5271769,2.2488217,-3.1375678,-3.2661164,-3.2547336,-3.4795623,-3.6011667,-3.2713275,-3.460328,2
About Techology,Data Security & Privacy,data_security,Will my information be passed through to other companies without my consent?,-3.2476401,-3.5280504,2.1671684,-3.1803327,-3.3024776,-3.3295212,-3.5562136,-3.5667076,-3.2923708,-3.5104969,2
About Techology,iAM SMART Integration,Without_iamsmart,Would the service work without IAM SMART?,-3.1860907,2.0825753,-3.4492857,-3.193353,-3.1545706,-3.3857985,-3.451118,-3.2873704,-3.482449,-3.465885,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,Does my bank account number be leaked to iAMSMART?,-3.6398058,-3.0595598,-3.063948,1.9803097,-3.2623703,-3.2226305,-3.3475437,-3.3824031,-3.471807,-3.0879796,3
About the team,Our Contact,Contact_method,how can I get to you guys?,-3.3400826,-3.4522293,-3.4311779,-3.2098641,-3.625564,2.1232712,-3.3251464,-3.2603874,-3.40604,-3.587162,5
About Techology,iAM SMART Integration,data_exchange_iamsmart,I don¡¦t want my Personal Data shared with i am smart.,-3.6201823,-2.9875543,-3.1236787,1.9771826,-3.1538455,-3.3171597,-3.2911806,-3.437555,-3.515338,-3.15031,3
About Techology,AI Techology,AI_summary,Why are you utilizing ML?,1.9614376,-3.1592853,-3.2020047,-3.51427,-3.5173116,-3.1591678,-3.3736086,-3.2125847,-3.0643454,-3.054879,0
About Business Component,Overall,Doubt_usefulness,Make me a reason for using your service.,-3.2022378,-3.3808835,-3.2644954,-3.4102407,-3.7236395,-3.2947106,-3.0073786,-3.2080867,2.0466676,-3.1811924,8
About Business Component,Filling ,Information_saving,Do your system remember my information so I won¡¦t need to fill out it in twice?,-3.4128397,-3.2935128,-3.196659,-3.4246118,-3.1908069,-3.2989082,2.1941793,-3.3996687,-3.0933094,-3.5709708,6
About Techology,iAM SMART Integration,Without_iamsmart,Tell Me How To Use Your Service Without using IAMSMART,-3.194928,2.1250975,-3.535894,-3.21924,-3.1176028,-3.3248007,-3.3652923,-3.2349193,-3.4605343,-3.4812212,1
About Business Component,Overall,Service_Summary,I don¡¦t know which services you offer,-3.2754476,-3.2785945,-3.4685166,-3.1530273,-3.1454399,-3.3990085,-3.4965348,-3.2563128,-3.151244,1.9682281,9
About Techology,Data Security & Privacy,sensitive_data_storage,I will check whether my personal data is stored on your side.,-3.5242467,-3.0906916,-3.0931518,-3.3450778,2.1877534,-3.2439685,-3.4864628,-3.2682698,-3.8557017,-3.2040143,4
About Techology,AI Techology,AI_summary,Why did you use AI in the service?,2.0034087,-3.1614056,-3.1665173,-3.577638,-3.5079641,-3.1328354,-3.3424075,-3.19387,-3.057157,-3.024569,0
About Techology,iAM SMART Integration,data_exchange_iamsmart,"I don¡¦t want to share my data with iAM SMART, is it possible?",-3.6969037,-3.0163505,-3.0195906,1.9298259,-3.3425546,-3.3136437,-3.320875,-3.4570029,-3.490018,-3.1531029,3
About Techology,iAM SMART Integration,Without_iamsmart,Would your service work without iAMSMART?,-3.1853642,2.1264112,-3.535591,-3.1993117,-3.0740004,-3.3208432,-3.4146733,-3.275771,-3.4631913,-3.4653316,1
About Techology,Data Security & Privacy,sensitive_data_storage,Will my identification number be saved on your server?,-3.5331595,-3.1322436,-3.1073828,-3.4349592,2.1360264,-3.1426349,-3.5023594,-3.2716973,-3.840934,-3.2629006,4
About Techology,iAM SMART Integration,data_exchange_iamsmart,What Data Will Be Shared with i am smart?,-3.6664484,-3.0091496,-3.0814953,2.001911,-3.2994294,-3.1486046,-3.369699,-3.3715,-3.4605098,-3.0540893,3
About Business Component,Overall,Service_Summary,Tell us more about your service,-3.1070454,-3.2925432,-3.4467094,-3.1164453,-3.205881,-3.3844845,-3.4435396,-3.22965,-2.9947348,2.0763974,9
About Techology,AI Techology,AI_summary,Why have you employed Machine Learning in your service,1.9668189,-3.2358522,-3.1807017,-3.6424026,-3.4807374,-3.1910708,-3.3085835,-3.1627026,-3.0213227,-3.0574932,0
About Business Component,Overall,Service_Summary,And what kind of service are you offering?,-3.0676165,-3.3070555,-3.407977,-3.1041825,-3.2396498,-3.360785,-3.4829402,-3.1965091,-3.0574126,2.090504,9
About Business Component,Overall,Service_Summary,I want to see more about the service you offer.,-3.1068318,-3.2878263,-3.4303548,-3.0934408,-3.1731822,-3.3297791,-3.4198422,-3.2967799,-3.0287142,2.0860653,9
About Techology,AI Techology,AI_summary,Tell me about AI in your business,1.906778,-3.21586,-3.2934396,-3.5700693,-3.4794924,-3.1447134,-3.4235015,-3.1489158,-3.1214125,-3.0234487,0
About the team,Our Contact,Contact_method,Please give me the contact point to your business.,-3.5318258,-3.4772508,-3.5688322,-3.210131,-3.4641268,2.0194533,-3.53519,-3.3234847,-3.5262964,-3.379091,5
About Business Component,Overall,Doubt_usefulness,Tell Me Shortly the Pro of Your Service,-3.219685,-3.3583682,-3.3122857,-3.3204,-3.7545056,-3.3779237,-3.0975957,-3.2407649,1.9757341,-3.1897292,8
About Techology,iAM SMART Integration,data_exchange_iamsmart,"We do not want to share our data with iAM SMART, is it possible?",-3.7110162,-3.0095584,-3.022709,1.9070342,-3.3196456,-3.3891757,-3.2862232,-3.5010695,-3.5208018,-3.1399431,3
About Business Component,Filling ,Information_saving,"Should I have to fill in the same form twice, should I have to fill in the same form twice?",-3.571338,-3.2960181,-3.2575216,-3.6079073,-3.4368987,-3.2940202,2.000337,-3.2413275,-2.977878,-3.685918,6
About Business Component,Overall,Flow_summary,How to follow the process?,-3.240552,-3.329193,-3.4703763,-3.5305328,-3.1672237,-2.9854066,-3.5386333,1.9301809,-3.0096445,-3.2757332,7
About Business Component,Overall,Flow_summary,How do I follow the process?,-3.3002052,-3.3170395,-3.4843078,-3.4439876,-3.1141677,-2.9786847,-3.4393795,1.947784,-3.116409,-3.249894,7
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will it be shared with IAMSMART?,-3.7911358,-2.9198542,-3.2066236,1.8689678,-3.296481,-3.2591476,-3.4176497,-3.4631326,-3.5304089,-3.1534276,3
About the team,Our Contact,Contact_method,"So, what is your number?",-3.4370832,-3.4367428,-3.481279,-3.1925616,-3.555708,2.0925822,-3.4706633,-3.2726307,-3.4326072,-3.5466535,5
About Techology,iAM SMART Integration,data_exchange_iamsmart,How much data will we be shared with iAMSMART?,-3.7117822,-3.0774622,-3.1764958,1.9097531,-3.251099,-3.3271074,-3.299638,-3.4383569,-3.5047138,-3.082091,3
About Techology,Data Security & Privacy,data_security,Why do you store my information?,-3.0263093,-3.66017,2.0308602,-3.3684936,-3.446495,-3.4031146,-3.5524359,-3.6858382,-3.1356366,-3.5784988,2
About Techology,iAM SMART Integration,data_exchange_iamsmart,will iAM SMART receive all my private information?,-3.682151,-3.0376687,-3.141606,1.9327015,-3.2026231,-3.2898233,-3.3606336,-3.4490452,-3.474191,-3.1108766,3
About Business Component,Overall,Doubt_usefulness,Why should I take use your service?,-3.1325307,-3.3431134,-3.245662,-3.3843942,-3.6985795,-3.3595695,-3.0512357,-3.2758884,2.0462675,-3.161332,8
About Techology,iAM SMART Integration,data_exchange_iamsmart,What data are to be sharing with iAMsmART?,-3.741338,-2.988535,-3.1785595,1.9080609,-3.307591,-3.20554,-3.4604833,-3.3925598,-3.4938104,-3.088223,3
About the team,Our Contact,Contact_method,But where can i find your contacts?,-3.448977,-3.432067,-3.456234,-3.2408292,-3.5748785,2.090292,-3.3704116,-3.3150394,-3.42479,-3.575013,5
About Techology,iAM SMART Integration,data_exchange_iamsmart,Can I stop sharing my personal data with iAMSMART?,-3.6739237,-2.9893026,-3.2128513,1.9311646,-3.237303,-3.2192268,-3.388822,-3.4176474,-3.5036323,-3.1517534,3
About Techology,Data Security & Privacy,data_security,Where are you storing my information?,-3.2202625,-3.5447035,2.207248,-3.1830392,-3.203698,-3.2949054,-3.507497,-3.592706,-3.2689874,-3.5221708,2
About Techology,Data Security & Privacy,data_security,Were you going to sell my data to other companies?,-3.2268934,-3.5310206,2.221555,-3.1626544,-3.350223,-3.3150778,-3.408217,-3.5756242,-3.2473347,-3.4721534,2
About the team,Our Contact,Contact_method,Can I Go to your office?,-3.3577528,-3.439426,-3.433613,-3.2563486,-3.54698,2.1202679,-3.3675704,-3.3183405,-3.4208264,-3.5219433,5
About Techology,Data Security & Privacy,sensitive_data_storage,We will check whether our personal data is saved on your side.,-3.5018666,-3.076287,-3.078544,-3.3560498,2.1740909,-3.298233,-3.5124474,-3.2840939,-3.8691723,-3.1457784,4
About Techology,Data Security & Privacy,data_security,Will My data be transmitted to other companies without My consent?,-3.2129376,-3.5352058,2.1872275,-3.1727057,-3.3521514,-3.339458,-3.4949799,-3.5689056,-3.244334,-3.526584,2
About Techology,AI Techology,AI_summary,Tell Me More about ML in Your Business,1.9372115,-3.2023497,-3.2599678,-3.5597355,-3.4744177,-3.1668272,-3.3879592,-3.1638176,-3.1173158,-2.9668598,0
About Business Component,Overall,Doubt_usefulness,What benefits can you bring for me?,-3.2196646,-3.3821251,-3.2428946,-3.4119594,-3.7309015,-3.3084683,-3.0176635,-3.2382574,2.0121207,-3.1968849,8
About Business Component,Overall,Service_Summary,Could you tell me what you're doing?,-3.183175,-3.3608212,-3.4547644,-3.2091908,-3.1823177,-3.3981395,-3.462302,-3.2241158,-3.0986474,1.988349,9
About Business Component,Overall,Flow_summary,Give me the manual to use Your form-filling service,-3.2338545,-3.2967424,-3.3896296,-3.3555517,-3.1016963,-2.8781931,-3.4832866,2.0396185,-3.080223,-3.3498106,7
About Techology,iAM SMART Integration,Without_iamsmart,"I don't have an i AM SMART account, Can I still use your service?",-3.1670902,2.1307378,-3.5726607,-3.1949325,-3.0946822,-3.3118067,-3.405172,-3.2506516,-3.5026424,-3.4767082,1
About Business Component,Overall,Service_Summary,I want to find out more about the service you offer.,-3.1309597,-3.293168,-3.3949199,-3.0990686,-3.1859062,-3.334414,-3.4002304,-3.29316,-3.037353,2.085124,9
About Techology,iAM SMART Integration,Without_iamsmart,Is it possible to use FillEasy without iAMSMART?,-3.1831698,2.1263716,-3.560684,-3.1425827,-3.1031275,-3.3174877,-3.3670244,-3.293476,-3.4525483,-3.532714,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,Will the iAMSMART know my banking details?,-3.6880863,-3.0489593,-3.0586064,1.8753904,-3.3564906,-3.3645823,-3.3721762,-3.4323418,-3.4720795,-3.1598163,3
About Business Component,Overall,Flow_summary,How Do I follow the Process?,-3.3002052,-3.3170395,-3.4843078,-3.4439876,-3.1141677,-2.9786847,-3.4393795,1.947784,-3.116409,-3.249894,7
About Techology,Data Security & Privacy,data_security,Is my information crypted?,-3.697388,-3.8642132,1.3430146,-3.2677836,-2.472313,-3.5492094,-3.6161551,-4.112267,-3.8306513,-3.7531898,2
About Business Component,Overall,Doubt_usefulness,Give me an idea why I should use your service?,-3.1633909,-3.3929255,-3.296747,-3.4227211,-3.810428,-3.4455621,-3.0541196,-3.1862557,1.9785675,-3.2017794,8
About Business Component,Overall,Service_Summary,Could you tell my what you do?,-3.131685,-3.3359513,-3.440857,-3.1382432,-3.243165,-3.38082,-3.4257336,-3.2074566,-3.0606883,2.0537608,9
About Business Component,Overall,Flow_summary,Give me a manual for your form-filling service.,-3.3069525,-3.3953257,-3.4410136,-3.408624,-3.1597068,-3.015542,-3.5412989,1.9521939,-3.126205,-3.0099514,7
About the team,Our Contact,Contact_method,Where Can I find your contacts?,-3.4112709,-3.4685102,-3.4720774,-3.225969,-3.5825675,2.0848982,-3.3808975,-3.3174207,-3.4318018,-3.5626628,5
About Techology,Data Security & Privacy,sensitive_data_storage,Do you keep the personal information that I fill in?,-3.5310977,-2.986963,-3.0228796,-3.3933728,2.2705355,-3.1638753,-3.4001453,-3.2771637,-3.8134313,-3.1835716,4
About Techology,AI Techology,AI_summary,How does the Fill Easy integrate AI technology?,1.9727709,-3.1671054,-3.1822767,-3.5048487,-3.5323539,-3.2032936,-3.3253849,-3.217606,-3.0694065,-3.063338,0
About Business Component,Overall,Service_Summary,We don¡¦t know what service you offer,-3.1917496,-3.3342285,-3.4551613,-3.1309698,-3.2118056,-3.4229991,-3.4538336,-3.2312675,-3.10877,2.0031266,9
About Business Component,Overall,Service_Summary,What service would I receive?,-3.1313813,-3.294293,-3.397948,-3.1338272,-3.216892,-3.3851335,-3.4552,-3.2489293,-3.0608766,2.0535796,9
About Business Component,Filling ,Information_saving,Do I have to give the same information again if I have your service for the second time?,-3.5133932,-3.311738,-3.1503856,-3.404808,-3.2835815,-3.2593234,2.1134157,-3.588534,-3.0060148,-3.6485462,6
About Techology,iAM SMART Integration,Without_iamsmart,"I want to use the service, but I don¡¦t have an i AM SMART acc",-3.2310708,2.1380122,-3.5971313,-3.242866,-2.9822898,-3.3001854,-3.3274667,-3.246511,-3.5108612,-3.4900315,1
About Techology,iAM SMART Integration,data_exchange_iamsmart,"If I use i am smart, does it mean I¡¦ll share every input with them as well?",-3.7046835,-2.9864047,-3.0208108,1.9688511,-3.31483,-3.2481217,-3.2827456,-3.487419,-3.4906797,-3.0791538,3
About Business Component,Overall,Service_Summary,tell me more about your service.,-3.1571562,-3.324597,-3.5056634,-3.2028193,-3.3294928,-3.3884864,-3.5094995,-3.0680625,-2.9796233,2.0094388,9
About Techology,AI Techology,AI_summary,Why Do You Utilize ML?,1.9710257,-3.1784508,-3.1868865,-3.5214617,-3.5219195,-3.1581743,-3.3721821,-3.2063184,-3.067061,-3.0361917,0
About Techology,Data Security & Privacy,sensitive_data_storage,I hope my data will not be persistenced on your cloud.,-3.5004275,-2.9232569,-3.0615995,-3.308889,2.2205856,-3.2778697,-3.3498383,-3.3112051,-3.858639,-3.3361192,4
About Techology,iAM SMART Integration,data_exchange_iamsmart,"I don¡¦t wish to share my data with iAMSMART, is it possible?",-3.7094405,-3.0193286,-3.0891225,1.9086097,-3.352431,-3.2736902,-3.3304524,-3.429402,-3.4996808,-3.1845763,3
About Business Component,Filling ,Information_saving,How many times do I need to fill in the same field?,-3.5150828,-3.2875378,-3.176531,-3.3735101,-3.268324,-3.1928072,2.1293564,-3.5768595,-3.0903888,-3.608502,6
About Business Component,Overall,Doubt_usefulness,How much time do I be able to save with your service?,-3.217354,-3.4059417,-3.2719753,-3.4607952,-3.7352598,-3.437941,-2.8964272,-3.164598,2.0033958,-3.2756655,8
About Business Component,Overall,Flow_summary,We do not understand how to use your service.,-3.0911248,-3.2818952,-3.4420173,-3.4275475,-3.179882,-3.086524,-3.4391387,1.9636744,-3.0609386,-3.3779926,7
About Techology,Data Security & Privacy,sensitive_data_storage,Are my Personal Data Said in Your System?,-3.507903,-2.9819648,-3.15217,-3.3107996,2.1802602,-3.2077718,-3.4615557,-3.2534497,-3.8743262,-3.4003758,4
About Techology,Data Security & Privacy,data_security,Did you sell my data to other companies?,-3.2056582,-3.5424235,2.2098157,-3.1830087,-3.3711312,-3.2870886,-3.454111,-3.5491788,-3.2543743,-3.4739377,2
About Techology,Data Security & Privacy,sensitive_data_storage,Is the information I fill up in stored?,-3.549313,-3.0063188,-3.103954,-3.4215312,2.1635873,-3.2316582,-3.3930774,-3.2978127,-3.853426,-3.2737129,4
About Business Component,Overall,Doubt_usefulness,How Much Time Can I Save with Your Service?,-3.1887777,-3.3502576,-3.2637572,-3.4176853,-3.6830764,-3.342171,-3.0190167,-3.20487,2.0341086,-3.2163382,8
About Techology,AI Techology,AI_summary,How can AI improve my experience while using your service?,2.0004268,-3.1514683,-3.146796,-3.569682,-3.5148158,-3.1877618,-3.3333592,-3.157217,-3.083787,-3.052507,0
About Business Component,Overall,Flow_summary,Give me the manuale to use your form-filling service,-3.306968,-3.2954974,-3.4264772,-3.2814202,-3.1120315,-2.877862,-3.462451,2.0497859,-3.054115,-3.3118265,7
About the team,Our Contact,Contact_method,Can you go into your office?,-3.41412,-3.4521165,-3.4591005,-3.3187413,-3.4823241,2.0517342,-3.4452968,-3.367964,-3.445769,-3.4853404,5
About the team,Our Contact,Contact_method,Where do I get to your contacts?,-3.4200287,-3.508486,-3.465233,-3.253601,-3.6139038,2.076763,-3.3433316,-3.2512727,-3.4526691,-3.5693839,5
About Business Component,Filling ,Information_saving,"If i want to fill up in two forms, will I have to fill out in the same information twice?",-3.4612038,-3.294895,-3.1118393,-3.3643413,-3.2932105,-3.2982695,2.164285,-3.5125883,-3.059933,-3.594684,6
About Business Component,Overall,Doubt_usefulness,Tell me briefly the pros of your service.,-3.1950846,-3.365154,-3.2456584,-3.368236,-3.718885,-3.3272676,-3.0129974,-3.2026324,2.0325975,-3.2345932,8
About Techology,Data Security & Privacy,sensitive_data_storage,Are you keeping the personal details that I am filling in?,-3.6912735,-2.9423642,-3.110181,-3.314921,2.1506598,-3.215772,-3.3906832,-3.3803492,-3.9271293,-3.2488735,4
About Techology,AI Techology,AI_summary,can ML technology truly help when I use FillEasy?,1.9971863,-3.1641335,-3.1645107,-3.6195467,-3.5182216,-3.2453516,-3.2895217,-3.169329,-2.9525237,-3.0685794,0
About Business Component,Overall,Flow_summary,But what do I do to work?,-3.172149,-3.2855303,-3.4673083,-3.365783,-3.1810837,-2.9113002,-3.4547393,2.0219288,-3.0695438,-3.3011925,7
